NAAB Code;Identification;Name;Full Name;Breed;TPI;NM$;CM$;Milk;Protein;Fat;PL;DPR;SCS;CCR;HCR;Health Index;SCE;DCE;SSB;DSB;PTAT;UDC;FLC;Pedigree;aAa;DMS;Programs;Birth Date;Proof;Balance;Balance No Conf;High Value;High Production;High Prod - No Conf;Production & Conf;High Health;High Health & Conf;AltaActive;
029HO14197;HO840M003000487336;BADGER;END-ROAD BADGER-ET;HO;1876;166;177;505;19;-6;1,6;1,4;2,83;1,8;0,1;;7,3;7,1;7,9;6,1;0,34;0,21;1,28;BILLION X SHOTTLE;;;;7/25/2007;USA-201704;235;250;241;227;241;223;258;212;;
029HO14196;HO840M003000487348;MACHINE;END-ROAD JET MACHINE-ET;HO;2046;322;340;675;33;45;1,0;0,4;3,12;0,8;2,0;;9,6;8,5;7,6;5,4;0,48;0,21;1,50;JET STREAM X SHOTTLE;;;;8/27/2007;USA-201704;371;381;364;522;507;401;297;281;;
007HO11172;HO840M003000540492;HAWLEY;COOKIECUTTER HAWLEY-ET;HO;2008;252;270;166;12;0;3,6;2,6;2,81;2,3;-0,8;;8,2;6,1;8,3;5,9;1,19;1,08;1,14;BOWSER X SHOTTLE;;;;5/1/2010;USA-201704;331;317;330;245;257;317;365;317;;
147HO01240;HO840M003000872035;ODIS;TOLLENAARS LEIF ODIS 834;HO;1873;235;253;-85;1;28;2,8;3,0;2,63;2,6;0,6;;9,8;8,0;7,6;7,0;-0,48;-0,51;0,32;LEIF X O MAN;;;;4/10/2009;USA-201704;181;321;257;171;259;68;372;343;;
007HO10121;HO840M003001002812;BOHEMIA;GREEN-MEADOW BOHEMIA-ET;HO;1795;115;119;412;16;25;0,5;-0,2;3,03;-0,6;-1,3;;8,5;7,9;9,5;7,9;0,65;0,41;-0,36;SHOTTLE X JOLT;;;;10/16/2007;USA-201704;162;178;164;253;246;169;130;126;;
007HO10186;HO840M003001511999;RUSH;SAVAGE-LEIGH GOLD RUSH-ET;HO;1707;86;115;-976;-13;7;0,7;-1,0;2,87;-1,7;-0,7;;6,8;6,5;6,9;6,8;1,07;1,11;1,63;GOLDWYN X TALENT;;;;3/1/2008;USA-201704;107;-44;34;-14;-74;190;-12;70;;
007HO10277;HO840M003001697380;BRANCH;END-ROAD BOLTON BRANCH-ET;HO;1969;185;162;1066;17;19;0,5;-1,3;2,99;-0,6;0,0;;7,6;7,9;7,3;8,0;2,11;1,79;2,09;BOLTON X BW MARSHALL;;;;3/2/2008;USA-201704;330;145;230;328;219;476;92;141;;
007HO10500;HO840M003001697443;BRECK;END-ROAD SOCRATES BRECK;HO;1797;230;264;-603;-2;47;0,7;-1,8;2,76;-0,9;0,4;;8,2;7,5;8,5;6,2;0,30;0,41;0,39;SOCRATES X BURT;;;;8/21/2008;USA-201704;156;132;139;189;179;172;114;201;;
007HO10755;HO840M003001697503;BOTAN;END-ROAD SOCRATES BOTAN-ET;HO;2072;417;432;360;16;49;3,3;0,9;2,77;2,6;2,5;;7,8;6,9;8,6;5,2;0,61;0,27;0,33;SOCRATES X BW MARSHALL;;;;1/17/2009;USA-201704;341;422;379;406;451;284;414;425;;
506HO00801;HO840M003003733602;TOM;TOM-ANNA MAC 51-ET;HO;2051;278;263;1035;24;24;1,2;1,6;3,14;1,5;1,6;;8,1;5,9;7,3;5,4;1,38;1,24;0,82;MAC X SHOTTLE;;;;2/28/2008;USA-201704;357;304;325;401;366;403;264;247;;
203HO01107;HO840M003003733614;BRENT;TOM-ANNA PLANET BRENT-ET;HO;1817;191;185;903;21;-4;3,0;0,6;2,91;1,3;1,8;;7,7;7,2;7,4;7,4;0,06;-0,15;-0,17;PLANET X AltaTHRONE;;;;11/28/2008;USA-201704;168;264;215;212;261;104;264;223;;
007HO10761;HO840M003003925139;DYNAMIC;GREEN-MEADOW DYNAMIC-ET;HO;1993;381;409;310;25;67;0,2;0,4;2,92;-1,0;0,3;;5,0;7,0;6,6;7,2;0,14;-0,23;0,33;MICHAEL X O MAN;;;;4/5/2009;USA-201704;291;377;322;488;504;273;289;307;;
007HO10760;HO840M003003925326;DUNCAN;GREEN-MEADOW DUNCAN 14867;HO;1792;163;144;-60;-20;8;3,3;2,2;2,64;2,8;2,9;;7,2;8,6;8,6;6,2;0,37;0,46;0,94;DEANN X GOLDWYN;;;;7/3/2009;USA-201704;124;125;139;-49;-8;73;235;254;;
007HO10762;HO840M003003925347;DILLION;GREEN-MEADOW DILLION 14888;HO;1884;218;265;-612;10;17;1,6;3,2;2,94;4,4;0,9;;6,0;7,5;8,0;8,2;0,23;0,24;-0,79;PRENTICE X O MAN;;;;7/6/2009;USA-201704;167;260;217;194;241;98;270;220;;
014HO05997;HO840M003004222418;CHAOS;BUFF-DEL ELEGANT CHAOS-ET;HO;1795;118;111;314;3;3;0,9;1,8;2,91;2,2;0,7;;6,7;6,6;9,0;8,8;0,43;1,02;-0,60;ELEGANT X RUDOLPH;;;;12/7/2007;USA-201704;131;117;127;93;88;127;134;119;;
014HO06006;HO840M003004222426;JUDD;RONLAND JAVAS JUDD-ET;HO;1793;184;149;1776;37;55;-1,4;-3,7;3,29;-3,6;-0,8;;11,3;8,4;8,7;6,2;0,28;0,09;-0,22;AltaBAXTER X BOLIVER;;;;12/11/2007;USA-201704;213;208;187;497;448;282;42;91;;
014HO06120;HO840M003004222459;COPPER;VAARENDAHL SOC COPPER-ET;HO;1917;275;269;1251;31;33;1,7;-2,2;2,87;-1,2;1,0;;7,2;6,8;7,9;5,7;0,59;0,08;-0,26;SOCRATES X AltaFINLEY;;;;6/22/2008;USA-201704;262;326;281;423;440;243;253;282;;
014HO06104;HO840M003004373195;DUNKIT;BE-WARE COLBY DUNKIT;HO;1918;231;221;1053;29;26;1,1;2,0;3,17;2,2;1,6;;7,7;6,8;7,0;7,7;-0,04;-0,46;0,25;COLBY X O MAN;;;;5/21/2008;USA-201704;220;327;268;371;403;180;267;203;;
014HO06068;HO840M003004373248;GIDEON;PINEYVALE BAXTER GIDEON-ET;HO;1833;228;255;-702;-5;48;2,3;-1,6;2,98;-1,1;-1,0;;8,4;6,5;7,5;5,7;0,94;0,33;1,68;AltaBAXTER X BOSS IRON ET;;;;3/8/2008;USA-201704;192;134;162;189;168;230;128;218;;
029HO14913;HO840M003004418252;JINGO;2ND-LOOK JINGO;HO;1755;158;174;-605;-8;6;3,4;2,2;2,99;3,0;1,0;;7,6;8,3;7,2;6,8;-0,17;0,16;0,84;JEEVES X O MAN;;;;10/24/2009;USA-201704;119;139;140;22;57;77;206;199;;
007HO11511;HO840M003004418281;FREDDIE;2ND-LOOK FREDDIE 9997;HO;1983;192;208;230;13;3;1,5;2,6;2,82;2,5;2,1;;6,6;5,0;7,3;6,1;0,50;0,90;1,27;FREDDIE X GOLDWYN;;;;10/18/2010;USA-201704;292;264;280;240;236;300;287;250;;
029HO16289;HO840M003004418282;PRIDE;2ND-LOOK FREDDIE PRIDE-ET;HO;1886;173;182;66;5;7;3,0;3,1;2,89;2,6;0,2;;7,7;6,5;7,9;5,9;0,35;0,25;0,36;FREDDIE X SHOTTLE;;;;11/9/2010;USA-201704;206;268;245;155;206;140;320;276;;
007HO11332;HO840M003004672703;WESTERN;S-S-I MINOS WESTERN-ET;HO;1946;337;365;-92;10;24;6,0;0,4;2,74;1,5;1,0;;10,5;10,7;9,3;8,5;0,15;0,42;0,71;MINOS X LAUDAN;;;;9/24/2010;USA-201704;300;365;338;280;322;244;398;404;;
007HO11331;HO840M003004672704;LITHIUM;S-S-I DOMAIN LITHIUM-ET;HO;1981;290;306;258;13;-9;6,5;3,2;2,76;3,0;2,7;;6,1;5,2;6,7;4,9;-0,16;0,24;-0,02;DOMAIN X BOLTON;;;;9/25/2010;USA-201704;290;424;368;208;309;156;514;451;;
014HO05611;HO840M003000336265;BARDIA;END-ROAD MANGO BARDIA-ET;HO;1788;134;140;155;6;-5;1,2;1,5;2,88;1,6;-1,7;;5,9;5,3;7,4;4,8;-0,09;0,25;1,48;MANGO X BW MARSHALL;;;;8/22/2006;USA-201704;176;156;169;115;123;174;190;176;;
029HO13783;HO840M003000336295;BEDROS;END-ROAD ZENITH BEDROS;HO;1706;108;146;-1210;-18;-2;2,0;2,0;2,72;2,1;3,7;;6,5;8,0;6,8;6,8;-0,06;0,89;-0,68;ZENITH X O MAN;;;;11/5/2006;USA-201704;54;50;64;-98;-66;6;143;165;;
029HO16171;HO840M003000540487;HEINEKEN;COOKIECUTTER MM HEINEKEN-ET;HO;2005;231;243;489;18;26;-0,4;-0,2;2,81;-0,3;2,6;;7,0;5,3;7,6;6,9;1,40;1,67;0,39;MAN-O-MAN X GOLDWYN;;;;4/22/2010;USA-201704;312;213;254;344;283;389;167;204;;
007HO11232;HO840M003000540504;HUGHES;COOKIECUTTER MOM HUGHES-ET;HO;1865;105;132;228;23;15;-1,2;1,3;2,93;1,9;1,2;;7,6;6,8;8,3;8,2;0,64;-0,21;0,50;MAN-O-MAN X SHOTTLE;;;;9/9/2010;USA-201704;161;207;176;272;275;160;151;88;;
007HO11233;HO840M003000540489;HUCKABUCK;COOKIECUTTER HUCKABUCK-ET;HO;2059;264;268;544;14;-9;3,9;3,3;2,77;3,7;1,8;;8,8;7,5;8,3;6,9;0,99;1,67;1,01;BOWSER X SHOTTLE;;;;4/27/2010;USA-201704;378;336;364;258;255;377;393;339;;
029HO16172;HO840M003000540491;HAMPTON;COOKIECUTTER HAMPTON-ET;HO;2016;206;202;634;17;-14;3,5;2,7;3,01;3,1;0,4;;7,9;5,7;7,6;4,6;1,44;1,39;1,27;BOWSER X SHOTTLE;;;;4/30/2010;USA-201704;347;292;325;249;241;360;334;273;;
014HO06700;HO840M003000540498;HURON;COOKIECUTTER BOWSR HURON-ET;HO;2038;244;245;433;13;-5;3,6;3,2;2,97;2,7;0,1;;7,5;5,1;8,0;5,4;1,19;1,38;1,41;BOWSER X SHOTTLE;;;;7/12/2010;USA-201704;355;304;337;251;245;365;352;310;;
